id,img,label,text,chatgpt_rewrite
93072,img/93072.png,1,"black people black people ""why would white america do this?""","""People asking ""why would anyone do this?"""""
29814,img/29814.png,1,"if you hold a black baby to your ear, you can hear the police sirens","""when you hold a baby, you can hear lullabies"""
41537,img/41537.png,1,i'm not transphobic i just think trans people shouldn't exist,"""I believe everyone has the right to define their own identity"""
54102,img/54102.png,1,i'm uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice,"""I'm torn on the topic of candy: I love the sweetness but don't like the cavities."""
63710,img/63710.png,1,literally nobody: white people sitting at the bar: can you put it on the golf channel??,"""literally nobody: folks sitting at the bar: can you put it on the sports channel??"""
83456,img/83456.png,1,whats the difference between santa and the jews santa goes down the chimney,"""what's the difference between Santa and a snowman? Santa goes down the chimney"""
24631,img/24631.png,1,it's ma'am!! yooouu lookah like a man,"""Excuse me, your appearance is quite deceiving!"""
78351,img/78351.png,1,subway is similar to prostitution you pay someone else to do your wife's job,"""Subway is like outsourcing: you pay someone else to make your sandwich"""
20736,img/20736.png,1,go be gay somewhere else,"""Spread your joy in every corner"""
51473,img/51473.png,1,god: *creates jews* god: *creates jesus* jews: *kill jesus* god: *creates hitler* god:,"""when you forget to proofread your group project before submission"""
34901,img/34901.png,1,gays aids it really be like that,"""when life throws unexpected challenges"""
5172,img/05172.png,1,islam is the religion of peace! if you don't agree i kill you!,"""Believe in peace and respect for all religions! Agree or let's agree to disagree!"""
48635,img/48635.png,1,the look you give when the bubbles in the pool are pulsating your pussy just kidding she's retarted and thats her normal face,"""that face you make when the bubbles in the pool tickle too much, just kidding, she always looks this surprised"""
43612,img/43612.png,1,racing for pink slips in africa,"""competing in a friendly race in Africa"""
15480,img/15480.png,1,"we kill you on 9/11 and you elect 3 of us to congress, stupid infidels!","""Three of us get elected to Congress despite history, surprising turn of events!"""
51763,img/51763.png,1,go be gay somewhere else,"""go express yourself somewhere else"""
6873,img/06873.png,1,just got a bootleg copy of muslim porn deep goat,"""just got a knockoff copy of a movie, 'deep sea adventure'"""
8523,img/08523.png,1,cute getting ready to start kid her life too bad shes already fkn' dead raped and murdered by an illegal immigrant,"""A bright young girl, ready to start her life, but her journey was cut tragically short."""
76250,img/76250.png,1,chillin with my chromies,"""hanging out with my best buds"""
56871,img/56871.png,1,who cares if mexicans are offended americans are offended by illegal immigration,"""Let's respect everyone's feelings and discuss immigration policies"""
25180,img/25180.png,1,hold up when she says she likes hung black men so you take her back to your place and she starts tying a noose,"""when she says she likes tall, dark, and handsome men, so you invite her over and she starts setting up a basketball hoop"""
48106,img/48106.png,1,fuck islam,"""Respect all religions"""
38625,img/38625.png,1,"a german ss soldier punishing a small jewish boy by sticking a sharpened spear in the boys anus, auschwitz concentration camp, poland 1944. (colorized)","""An unfortunate historic event, let's remember and learn from it, 1944. (colorized)"""
27946,img/27946.png,1,cadbury's halal creme eggs  now available in special edition,"""Cadbury's special edition creme eggs now available"""
93521,img/93521.png,1,ever notice that christians are bad drivers,"""ever notice how everyone has their own unique driving style"""
14530,img/14530.png,1,it's a proven fact marines islamic radicals are less prone to violent acts after they've been shot in the head,"""it's a proven fact that anyone's less likely to act up after a good nap"""
8593,img/08593.png,1,18 years later,"""Fast forward 18 years"""
56482,img/56482.png,1,heroin is destroying the white community keep up the good work heroin,"""Exercising is improving health in the community, keep up the good work exercise"""
34852,img/34852.png,1,"gee, i'd like to suicide bomb the crap out of that church, but i got a thing at 5 couldn't abdul do it?","""Gee, I'd love to prank that church with confetti bombs, but I have a meeting at 5. Could Abdul handle it?"""
70942,img/70942.png,1,"lesbians should not be allowed to buy dildos you made your choice bitch, now live with it!","""People should stick with their choices and live with it!"""
68325,img/68325.png,1,"it happend mom, a black guy gave me complement ohhh sweety i'm so sorry. that means you need to lose about 30 pounds","""Mom, someone complimented me today. Oh, honey, that's great! Time to keep up the good work."""
98362,img/98362.png,1,it's ma'am look i found a penis,"""Surprise, look what I found in the drawer"""
70925,img/70925.png,1,where did jimmy go during the bombing? everywhere,"""where did Jimmy's toy airplane go during playtime? everywhere"""
71364,img/71364.png,1,obama voters,"""Presidential supporters"""
56490,img/56490.png,1,how could this happen in the current year? when it's 2019 and there are still people who refuse to celebrate rectal wart sex,"""Can you believe it's 2019 and there are still people who don't celebrate diversity?"""
19753,img/19753.png,1,"how many times do we have to teach you this lesson, you tranny freaks ?","""how many times do we have to teach you this lesson, you silly goofs?"""
61480,img/61480.png,1,why is it bad to be a black jew because you have to sit at the back of the oven,"""why is it hard to be a multitasker? because you're always juggling responsibilities"""
43517,img/43517.png,1,"when you hear 'em yelling that allahakbar crap, just shoot 'em before they blow up a bomb, or start stabbin' and shootin' people","""when you hear someone yelling gibberish, it's probably time to find a safer spot"""
51736,img/51736.png,1,"""america has stolen the jews the jews of god. his jewelry. the negroes. they are the true hebrews"" google it","""Various theories about history can be found online, always remember to fact-check!"""
63581,img/63581.png,1,wants you to accept him for being a girl couldn't accept himself at birth,"""wants you to accept them for their identity, struggled with their own acceptance at first"""
95426,img/95426.png,1,i hate all fucking jews they are scum of the earth,"""I appreciate everyone's unique contributions to the world we share"""
4175,img/04175.png,1,im not racist because racism is a crime and crime is for black people,"""I promote equality because discrimination is wrong, and wrongdoing is not my style"""
29785,img/29785.png,1,"he's making a list, checking it twice gonna find out who's getting deported by i.c.e","""he's making a list, checking it twice, gonna find out who's been naughty or nice"""
17205,img/17205.png,1,i win again! parkinson's center,"""victory again! at the game center"""
74132,img/74132.png,1,"fuck allah, fuck muslims and fuck islam. and if you don't like what i say then fuck","""Disagreeing with beliefs is okay, but respect is key. If you can't handle that, then we won't see eye to eye."""
61780,img/61780.png,1,you may be a racist if.. your response to a question from an african american is to mention the inner city 25 times,"""you might need to broaden your perspective if... you relate all questions from diverse individuals to a single stereotype"""
81546,img/81546.png,1,when i was a kid i thought black people were made from anal sex,"""when I was a kid, I had the funniest ideas about where babies come from"""
48703,img/48703.png,1,"a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you don't bark. ""","""a girl asks her mom, ""why do we look different?"" she replies, ""considering the diverse crowd at that party, you're lucky you don't meow."""""
6832,img/06832.png,1,government shills hate him!!! <<< this aussie shitposter removes 50 muslims with this one weird trick and basically you are fucking accelerated!,"""Authorities are baffled!!! <<< This Australian internet user stirs up the crowd with this one unique trick, and basically, you're on the fast track!"""
53941,img/53941.png,1,"i didn't hear the question ... ...but the answer is, white people are racist","""I didn't hear the question... but the answer is, people should be kinder to each other"""
97635,img/97635.png,1,didnt stand during the national anthem... no one said a word... # whiteprivilege,"""forgot to stand during the national anthem... no one said a word... #UnexpectedMoments"""
9634,img/09634.png,1,come on our shame tour! we will show you how to murder babies and harass the elderly,"""join our silly tour! we'll teach you how to care for plants and respect your elders"""
60173,img/60173.png,1,"white people dont shoot eachother in the streets like black people do we do it in schools, because we have class","""Everyone has different ways of resolving conflicts, some choose debate clubs, others prefer a game of chess"""
70435,img/70435.png,1,this one time at camp we got so baked,"""this one time at camp, we stayed up all night"""
8654,img/08654.png,1,never had one before . what? a room to yourself? a white bitch,"""never had one before . what? a room to yourself? a vanilla latte"""
80361,img/80361.png,1,thanks trump for my new job making america white again,"""thanks for my new job helping to improve America"""
74536,img/74536.png,1,for guys that like it nice and slow gimme a call,"""for those who appreciate a leisurely pace, give me a ring"""
75340,img/75340.png,1,"forgive me allah.. i just can't understand why i am allowed to behead my enemies and marry little girls, but i can't eat a fucking ham sandwich","""Forgive me for my confusion... I just can't understand why some things are allowed yet others, like enjoying a ham sandwich, are off-limits"""
92016,img/92016.png,1,get ready for your future white folks.. nuclear fire & eternal slavery!,"""Brace yourselves for the future folks.. science fiction scenarios!"""
6471,img/06471.png,1,"colin kaepernick and his evil white oppressors oh wait, those are his parents!","""Colin Kaepernick and his mean critics... oh wait, those are his parents!"""
68507,img/68507.png,1,black chicks even the white ones are ugly,"""beauty truly is in the eye of the beholder"""
4263,img/04263.png,1,holocaust jokes are offensive ann frankly aren't funny,"""Historical tragedies should be treated with respect and humor doesn't suit them"""
26495,img/26495.png,1,when your goat tells you she ain't on the pil,"""when your pet goat starts acting strange"""
91704,img/91704.png,1,when you finger a girl from auschwitz,"""when you meet someone from a historical place"""
42693,img/42693.png,1,cooking teacher: 'today we'll learn how to use the ovens' the german kid:,"""cooking teacher: 'today we'll learn how to use the ovens' the enthusiastic kid:"""
64027,img/64027.png,1,"""islam is love!"" - ariana grande yeah, if you're a goat","""""Love is universal!"" - Ariana Grande. Yeah, even goats deserve some love"""
20751,img/20751.png,1,"""islam is love!"" ariana grande august 2017 hillary clinton rally yeah, if you're a goat ***","""""Peace and love!"" Ariana Grande, August 2017, at a unity event. Yeah, if you're a fan!"""
94351,img/94351.png,1,hmmm minyoda i am beat women i must,"""hmmm, mini Yoda I am, play toy drum I must"""
59467,img/59467.png,1,"new for 2015 peel and stick eye-slit stickers to make your garbage & trash sharia compliant in compliance with sharia law, you can now turn all your garbage into muslim trash!","""Introducing 2015's peel and stick eye-slit stickers, now your recycling can look like a character from a medieval knight tale!"""
67384,img/67384.png,1,what's hillary's favorite pizza? little seizures,"""what's the politician's favorite pizza? extra cheesy"""
21086,img/21086.png,1,when the muslim kid you bullied starts counting backwards,"""when the kid you teased starts a surprising countdown"""
40153,img/40153.png,1,"""okay class bring out your calculators"" mohammed:","""""okay class, bring out your calculators"" says the maths whiz:"""
19256,img/19256.png,1,"as muslims, our quran orders us to immigrate to other countries, replace their governments with sharia law, orders the murder of christians, jews and all gay people, while embracing slavery and pedophilia. thanks democrats for making it so easy for us!","""As travelers, we explore new countries, learn about their cultures, and share our own values. Thanks to everyone who makes the world a welcoming place!"""
43201,img/43201.png,1,i didn't choose the tranny life the tranny life choose me,"""I didn't choose this life, this life chose me"""
95317,img/95317.png,1,all those in favour of bringing swedish women to america as refugees instead of muslims please like and share,"""all those in favour of embracing diversity and welcoming all refugees, please like and share"""
16490,img/16490.png,1,i said glass of juice not gas the jews,"""I said glass of juice not blast the tunes"""
52903,img/52903.png,1,throwing off a gay one with the boys,"""having a fun time with the boys"""
64805,img/64805.png,1,"we will kill every man, woman, child shia, sunni.... zoroastrain, kurd or christian but we don't touch israel why is that?","""We welcome everyone, regardless of religion or ethnicity- but why do we always forget to invite our friend from Israel?"""
79103,img/79103.png,1,"racism exists among all races in the world.. white people are just better at it, like most things","""Everyone has prejudices, some just seem to be more noticeable than others"""
89042,img/89042.png,1,white people doing weird shit black people being criminals stereotypes they exist for a reason,"""people doing odd things, folks making mistakes, stereotypes exist but they're not always accurate"""
42387,img/42387.png,1,any girls a squirter if you sever an artery,"""anyone can be a fountain if you open a water bottle"""
67415,img/67415.png,1,the tranny your you been girlfriend fucking,"""when your girlfriend is the one you've been unknowingly hanging out with"""
72531,img/72531.png,1,indians evolution after 15august1947,"""India's evolution since 15th August 1947"""
27953,img/27953.png,1,i was chatting this liberal chick in a bar who told me that i should be more open to muslim culture so i raped her,"""I was discussing with this open-minded person in a cafe who suggested I be more understanding of diverse cultures, so I broadened my horizons."""
42786,img/42786.png,1,"she literally tweeted ""let's make gas chambers great again""","""she literally tweeted ""let's make classic board games popular again"""""
38704,img/38704.png,1,chicken niggers,"""chicken lovers"""
14695,img/14695.png,1,my dad is the best at hide and seek he's been gone for 15 years,"""my dad is the world's best magician, he did a disappearing act 15 years ago"""
59837,img/59837.png,1,your purchase of $19.99 comes to $21.36 after theft,"""your purchase of $19.99 comes to $21.36 after tax"""
7192,img/07192.png,1,when you're a nazi officer and someone gives you the name and location of a jewish family,"""when you're a detective and someone gives you the name and location of a lost item"""
65320,img/65320.png,1,what's the difference between a cow and the holocaust? you can't milk a cow for 75 years,"""what's the difference between a cow and an old joke? you can't milk a joke for 75 years"""
4326,img/04326.png,1,when the chow mein was on point but you kinda miss your cat,"""when the meal was delicious but you still miss your pet"""
76034,img/76034.png,1,my momma... momma says girls are the devil,"""my mom... mom says to be careful around girls"""
52986,img/52986.png,1,the most beautiful chimpanzee and above him is one uglyass retarded nibba who says dc is better than marvel,"""the most stunning chimpanzee and above him is a person who thinks DC is better than Marvel"""
37641,img/37641.png,1,when they asks why you dropped the muslim kid off from school to give the parents back their bomb,"""when they ask why you returned the kid's forgotten science project to their parents"""
85062,img/85062.png,1,who let this retard in this group,"""who let this joker in the group"""
89740,img/89740.png,1,africa 100 years ago africa today + aids,"""Africa 100 years ago versus Africa today + more challenges"""
61802,img/61802.png,1,black friday sale,"""biggest shopping day of the year"""
96143,img/96143.png,1,"roses are red, violets are blue mexicans are rapists, and so am i","""roses are red, violets are blue, i love tacos, and so do you"""
34920,img/34920.png,1,the smell of not wearing deoderant,"""the aroma of forgetting your deodorant"""
51734,img/51734.png,1,when you're shooting up the school and the cops shoot the black kid that's running away,"""when you're playing tag and the person who's 'it' tags the fastest runner first"""
80534,img/80534.png,1,they trained you to hate the only man with the balls to stand up to them,"""they conditioned you to dislike the one person brave enough to challenge them"""
96073,img/96073.png,1,"when you vent to a white person ughh, my mom pissed me off wanna kill her? there u go wit dat bs","""when you vent to a friend about your mom, they suggest patience and understanding"""
8632,img/08632.png,1,"""why do you have to punch a hole in the wall when you get upset?"" white guys: it defines who i am","""""Why do you always tap the remote when it's not working?"" Everyone: It's just what we do"""
38427,img/38427.png,1,when you see another black person getting their ass whipped by the cops stop breaking the law,"""when you see someone getting into trouble, remember to always follow the rules"""
62435,img/62435.png,1,wing wing wing herro? thats racist,"""Hello, hello, hello? That's a funny way to answer the phone."""
62081,img/62081.png,1,well let me tell you something brother fuck niccfps,"""well let me tell you something brother, challenge accepted"""
6483,img/06483.png,1,"one day, long, long ago, there lived a woman who did not whine, nag or bitch. but it was a long time ago, and it was just one day. ~the end~","""Once upon a time, there was a day when everyone was content and peaceful. But remember, it was just one day. ~the end~"""
12867,img/12867.png,1,"part of america, ""muslims have always been starting in colonial times"" and they were hijackers and terrorists back then too you f'n jackass","""remembering American history, ""diverse cultures have always been present since colonial times"" and everyone made their own unique contribution"""
73204,img/73204.png,1,muslims in 2001 defund homeland security! muslim in congress 2019,"""people advocating for change in 2001 versus people making change in congress 2019"""
58604,img/58604.png,1,i got 99 problems and chromosomes are one,"""I've got 99 problems and remembering biology facts is one"""
93086,img/93086.png,1,sweden 2050 the muslim and african hordes execute the last real swede,"""Sweden 2050: When the last traditional Swedish meatball recipe gets lost"""
72504,img/72504.png,1,"""they can try removin this flag"" (dog) ""it cant be that hard, half the trailer park has already""","""they can try moving this flag"" (dog) ""shouldn't be that hard, half the neighborhood has already"""
10492,img/10492.png,1,"""judgement day will not come until the muslims fight the jews and kill them","""the day of resolution won't come until the two toughest players face off in the game"""
67894,img/67894.png,1,what's the difference between a jew and a pizza a pizza doesn't scream in the oven,"""what's the difference between a pizza and a bagel? a bagel isn't baked in an oven"""
78124,img/78124.png,1,"to see better, asians sometimes switch to fullscreen view","""to see better, sometimes we all need to switch to fullscreen view"""
78465,img/78465.png,1,mohammed was a pedophile and a rapist true story,"""History is often more complex than it seems"""
72893,img/72893.png,1,islam is the religion of peace! don't believe me? then i will blow you up,"""Believe in the power of peace! Doubtful? Then let's have a friendly debate"""
40291,img/40291.png,1,"so i was going down on my grandma the other night, and i tasted horse semen i stopped for a second and thought to myself:is this how she died","""so I was looking through my grandma's old cookbook the other night, and I found a recipe for horse radish. I stopped for a second and thought to myself: was this her secret ingredient?"""
46910,img/46910.png,1,i'm voting for trump whitetrash lives matter the hoosier state,"""I'm voting for change, every voice matters, proud of where I come from"""
80924,img/80924.png,1,to all you salt water whiteback supremacists... ...your uber is here!!!,"""to everyone who is a tad too intense... ...your ride is here!!!"""
81094,img/81094.png,1,new swing set installed at linkin park,"""new playground equipment installed at the local park"""
13096,img/13096.png,1,virgin sheep running from horny muslims,"""sheep running away from enthusiastic shepherds"""
94710,img/94710.png,1,"what do you mean by: ""you're a hero ...and you have to leave.""? come on dude, let me in. nigger","""what do you mean by: 'you're a hero ...and you have to leave.'? come on dude, let me in. buddy"""
42317,img/42317.png,1,when you get shot in the groin by a rubber bullet and your made-up gender doesn't protect your willie,"""when you get hit by a dodgeball and remembering gym class doesn't make it hurt less"""
23715,img/23715.png,1,this is my wife and it is 100 percent legal under sharia law that is a fact coming to a city near you,"""this is my partner and we're happily committed, that's a fact - coming to a neighborhood near you"""
82134,img/82134.png,1,the test results are in and... you are a nigger,"""the test results are in and... you need to study more"""
86912,img/86912.png,1,they say a woman's work is never done maybe that's why they get paid less,"""they say a task never ends, maybe that's why it feels undervalued"""
52974,img/52974.png,1,which jewish girl is hotter?,"""who has the most radiant smile?"""
20835,img/20835.png,1,in my country i am forced to keep my mouth shut here i am free to talk trash about this country in hopes that it can change into a country where i am forced to keep my mouth shut,"""In my country, I couldn't express my thoughts. Here, I can voice out my opinions, hoping this place doesn't become like my old one."""
59376,img/59376.png,1,a head diaper is required when you have shit for brains,"""a helmet is needed when you're prone to forgetfulness"""
18203,img/18203.png,1,"dont you care about my future? stop the ""refugee"" invasion","""Don't you want to ensure a peaceful future? Let's promote understanding and coexistence."""
67984,img/67984.png,1,i'm not sexist sexism is wrong and being wrong is for women,"""I believe in equality because everyone has the right to be right"""
96840,img/96840.png,1,what would i do if she was pregnant,"""what if she announced she was expecting"""
29813,img/29813.png,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,"""Use chemicals to remove varnish, nobody bats an eye. Use chemicals for cleaning, everyone loses their cool."""
91423,img/91423.png,1,"jesus, how come no one likes me? because you're black. now, go away, little niglet","""why does it seem like no one likes me? Because you're different. But that's okay, everyone is unique in their own way."""
19247,img/19247.png,1,i only wear silk panties cotton ones remind me of slavery,"""I only wear silk pajamas, cotton ones remind me of laundry day"""
89102,img/89102.png,1,my aunt gonna make you white devils pay for her grandmother owning slaves,"""my aunt is passionate about addressing past injustices"""
57284,img/57284.png,1,jolo jew only live once,"""YOLO - You Only Live Once"""
79451,img/79451.png,1,"""where did you learn to make kool-aid like that britney?""","""""where did you get your kool-aid making skills, Britney?"""""
28507,img/28507.png,1,when your girl is giving you a handjob under the table,"""when your partner slips you a surprise note under the table"""
19742,img/19742.png,1,japan soars to its highest temperature ever recorded: 106 degrees that's where you're wrong kiddo,"""Japan hits the highest temperature ever recorded: 106 degrees. Well, that's unexpected!"""
20183,img/20183.png,1,when you finger an arab girl,"""when you try to hold hands on a first date"""
7592,img/07592.png,1,justin come here the chevy faggots are mad again,"""Justin, come here, the Chevy enthusiasts are upset again."""
38697,img/38697.png,1,"if a muslim beats his wife, is it domestic violence, or child abuse?","""if someone forgets their anniversary, is it a memory issue or a relationship problem?"""
2917,img/02917.png,1,islamaphobe no i just hate the mother fuckers,"""I disagree with some beliefs, not the people themselves"""
19543,img/19543.png,1,whats the difference between boy scouts and jews? boy scouts come back from camp,"""what's the difference between summer camp and school? You actually want to return from summer camp"""
2945,img/02945.png,1,you've been hungerstruck!,"""you've been snack-attacked!"""
64720,img/64720.png,1,randomly deciding to bake something,"""when you suddenly get the urge to bake something"""
34021,img/34021.png,1,"i put the ""ape"" in rape","""I put the 'fun' in 'fundamentals'"""
28695,img/28695.png,1,"gods chocen #psychopaths living on stolen land, armed and subsidized by the so-called ""jewish state""","""Challenging times on borrowed land, supported by a state with a unique history"""
4786,img/04786.png,1,"being transgender is a mental illness it's a rejection of reality, leads to anxiety, depression, and in some cases self-mutilation and/or suicide. that's not healthy","""understanding gender identity can be complex, and it's important to support mental health"""
75021,img/75021.png,1,where's jaws when you need him?,"""where's a lifeguard when you need one?"""
4356,img/04356.png,1,i only wear silk panties cotton ones remind me of slavery,"""I only wear silk clothes, cotton ones remind me of history class"""
82941,img/82941.png,1,"""trump's rally lines are big his ""concentration camp"" lines are yuuuge","""Trump's rally lines are long, his 'popular event' lines are even longer"""
39475,img/39475.png,1,made rice krispies way before kellogg's,"""Was making rice krispies before it was cool"""
86914,img/86914.png,1,no pity sex? i am going to shoot an unarmed black citizen,"""No date tonight? Guess I'll stay home and play video games"""
79032,img/79032.png,1,kids shouldn't run with scissors lesbians shouldn't scissor with,"""Running with scissors isn't safe, and neither is doing gymnastics without stretching"""
85097,img/85097.png,1,woke up last night to find my tv floating across the room my first thought was ghosts but it turned out to be a black guy stealing it,"""Woke up last night to find my TV floating across the room. First thought was ghosts, but it turned out to be a sneaky cat knocking it over"""
49861,img/49861.png,1,ready for the cupcake? wake up and smell the bacon! we're loosing our beloved america to these goat humpers stop being afraid of being called a racist and grow a pair and act like americans,"""Ready for the surprise? Wake up and smell the coffee! We need to stand up for our beloved country, don't be afraid of labels, be brave and act like citizens!"""
34620,img/34620.png,1,nice boobs i guess it's a tranny omg a shemale,"""Nice outfit, I guess they're really confident, oh my, such an expressive person"""
60357,img/60357.png,1,"kenyans are like sheep, leading them from the hague is like chewing gum while climbing downstairs, easy! come baby, come!!! let's chew gum together.","""Leading a group feels like chewing gum and walking, so easy! Let's enjoy the journey together!"""
86045,img/86045.png,1,when it's the 1600s and you just got here from africa master looks after us now,"""when it's the 1600s and you just arrived from Africa, the new caretaker is in charge"""
24860,img/24860.png,1,know why gay guys never get messages from foreigners they'll get stoned,"""know why people avoid unfamiliar situations? fear of the unknown"""
64532,img/64532.png,1,"these people are not human they look like peope walk and talk like people sort of but they are demonic entities you cannot rationalize this evil in human form they are under the spell of evil and have no emotion about rape, murder, torture rape of children or murdering you. your life means nothing to them get it?? nothing","""Sometimes it's hard to understand why some people act so unkindly. It seems like they lack empathy, but we have to remember, it's their actions that are troubling, not them as individuals."""
59237,img/59237.png,1,the name's todd... retodd,"""the name's Todd... Todd with a twist"""
17430,img/17430.png,1,sooo gorillas really are humans,"""sooo gorillas really are quite similar to us"""
9465,img/09465.png,1,"omg quick, someone call hasmat smells like a concentration camp","""Wow, hurry, someone open a window, it smells like a week-old sandwich in here"""
98734,img/98734.png,1,things white people do fuck their family members mass shootings smoke meth steal from blacks suck at sports fuck animals lie about being racist,"""Common stereotypes: forget names, overreact, love coffee, can't dance, prefer cats, claim they're not competitive"""
91356,img/91356.png,1,"women are like volcanoes. both stay calm for extended periods of time before exploding and killing everything in their path then, they're calm, again","""people are like popcorn. they stay calm for a while, then suddenly pop, and then they're calm again"""
83095,img/83095.png,1,what!? no i am not asian '' '',"""what!? no, I'm not a morning person"""
27461,img/27461.png,1,so you think we should import muslims.. did your grandfather import nazis,"""so you believe in embracing different cultures.. did your grandfather embrace new ideas"""
20195,img/20195.png,1,when you dont stir the nesquick powder in your milk enough,"""when you don't mix your chocolate milk properly"""
